Date,Type,Link
8/18/23 6:10,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7098167481508233216
8/8/23 15:07,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7094688884223070208
7/27/23 18:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7090387049349869568
7/26/23 17:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7090016176545689600
7/24/23 13:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7088419907809259520
7/24/23 12:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7089119041583235072
7/21/23 18:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7088206284075798529
7/21/23 18:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7088199909555781632
7/20/23 14:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7087587133762191360
7/20/23 14:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7087609772388065280
7/19/23 19:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7087490065513209856
7/16/23 23:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7086481378791301120
7/15/23 1:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7085645740621905920
7/13/23 4:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7084992929311641600
7/7/23 14:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7082985692921835520
6/29/23 18:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7080233183652257792
6/27/23 18:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7079521722562998273
6/25/23 3:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7074214741774131202
6/24/23 17:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7078417493089812480
6/22/23 15:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7077663201026277376
6/21/23 4:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7077050304289984512
6/19/23 10:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7076355407543218176
6/19/23 10:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7076360718106722304
6/5/23 11:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7071414771044003840
6/4/23 5:10,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7070961084504887296
6/2/23 3:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7069785175009746944
5/31/23 4:49,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7069512967704248320
5/27/23 10:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7066589881812017152
5/25/23 6:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7067187285573709824
5/23/23 11:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7066480751050948608
5/14/23 16:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7063545670720225280
5/8/23 1:01,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7060959572450017280
5/4/23 0:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7059519404497108992
4/28/23 11:59,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7057675686550908928
4/25/23 20:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055223983247380480?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7055223983247380480%2C7056724811321872384%29
4/13/23 8:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7051924441122963456
4/3/23 0:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7048449957929897984
3/28/23 18:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7046538160394129408
3/10/23 18:15,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7040021594869559296
